"","cdatetime","district","crime_level","longitude","latitude","registry_number","sum_acomulated","mean_acomulated"
"230",2006-01-01,3,7,-121.3880115,38.56165546,230,1131,4.91739130434783
"231",2006-01-01,1,7,-121.4745819,38.64316291,231,1138,4.92640692640693
"232",2006-01-01,6,4,-121.4114993,38.52225475,232,1142,4.92241379310345
"233",2006-01-01,2,7,-121.4507882,38.64390931,233,1149,4.931330472103
"234",2006-01-01,6,3,-121.3675001,38.51585237,234,1152,4.92307692307692
"235",2006-01-01,6,5,-121.4505653,38.54020494,235,1157,4.92340425531915
"236",2006-01-01,5,2,-121.4336162,38.47226256,236,1159,4.91101694915254
"237",2006-01-01,2,5,-121.4538176,38.66757714,237,1164,4.91139240506329
"238",2006-01-01,3,8,-121.5036468,38.5842425,238,1172,4.92436974789916
"239",2006-01-01,3,7,-121.4758978,38.57562427,239,1179,4.93305439330544
"240",2006-01-01,1,4,-121.5088422,38.67667622,240,1183,4.92916666666667
"241",2006-01-01,2,2,-121.4226379,38.60667473,241,1185,4.91701244813278
"242",2006-01-01,3,4,-121.5069731,38.57016732,242,1189,4.91322314049587
"243",2006-01-01,2,5,-121.4300065,38.61472939,243,1194,4.91358024691358
"244",2006-01-01,1,8,-121.4755343,38.61935446,244,1202,4.92622950819672
"245",2006-01-01,2,5,-121.4415704,38.61292672,245,1207,4.9265306122449
"246",2006-01-01,5,5,-121.4284026,38.46292264,246,1212,4.92682926829268
"247",2006-01-01,5,1,-121.4312631,38.46377975,247,1213,4.91093117408907
"248",2006-01-01,6,4,-121.4684533,38.5550754,248,1217,4.90725806451613
"249",2006-01-01,3,7,-121.4877874,38.58245172,249,1224,4.91566265060241
"250",2006-01-01,3,7,-121.4289124,38.55645223,250,1231,4.924
"251",2006-01-02,6,5,-121.4490342,38.54470924,251,1236,4.92430278884462
"252",2006-01-02,5,6,-121.4603514,38.4625133,252,1242,4.92857142857143
"253",2006-01-02,1,7,-121.5190467,38.67660642,253,1249,4.93675889328063
"254",2006-01-02,4,5,-121.5477443,38.50751789,254,1254,4.93700787401575
